Titulo|Descricao|CaminhoImagem
Albania|Albania e um pequeno pais do Leste Europeu, situado na peninsula Balcanica. Sua capital e a cidade de Tirana.|C:\Users\refre\OneDrive\Documentos\Faculdade\Imagens\Bandeiras\albania.png
Argentina|A Argentina, cujo nome oficial e Republica Argentina, e um pais localizado no sul da America do Sul, o maior depois do Brasil. Esta entre os dez maiores paises do mundo.|C:\Users\refre\OneDrive\Documentos\Faculdade\Imagens\Bandeiras\argentina.png
Brasil|O Brasil e um pais de dimensoes continentais localizado na America do Sul, com capital em Brasilia.|C:\Users\refre\OneDrive\Documentos\Faculdade\Imagens\Bandeiras\brazil.png
Canada|O Canada e um pais que fica na America do Norte e consiste no segundo maior pais do mundo em extensao territorial, ficando atras apenas da Russia. Possui um terreno acidentado e climas que variam do Temperado, mais ao sul, ao Artico, ao norte.|C:\Users\refre\OneDrive\Documentos\Faculdade\Imagens\Bandeiras\canada.png
